es,en
Lightning Lane,Lightning Lane
MagicBand+,MagicBand+
Miembro del Elenco,Cast Member
Visitante,Guest
Apertura del parque,Rope Drop
Fila Virtual,Virtual Queue
Boleto Park Hopper,Park Hopper
Space Mountain,Space Mountain
Star Wars: Rise of the Resistance,Star Wars: Rise of the Resistance
Haunted Mansion,Haunted Mansion
Big Thunder Mountain Railroad,Big Thunder Mountain Railroad
Star Wars: Galaxy's Edge,Star Wars: Galaxy's Edge
Fantasyland,Fantasyland
PhotoPass,PhotoPass
Cambio de Acompañante (Rider Switch),Rider Switch
Fila para Pasajero Solitario (Single Rider),Single Rider Line
World Showcase,World Showcase
Tiana's Bayou Adventure,Tiana's Bayou Adventure
Encuentro con Personajes,Character Meet and Greet
Genie+,Genie+
FastPass,FastPass
Memory Maker,Memory Maker
Smart Band+,Smart Band+
Imagineer,Imagineer
