en,es
Lightning Lane,Lightning Lane
MagicBand+,MagicBand+
Cast Member,Miembro del Elenco
Guest,Visitante
Rope Drop,Apertura del parque
Virtual Queue,Fila Virtual
Park Hopper,Boleto Park Hopper
Space Mountain,Space Mountain
Star Wars: Rise of the Resistance,Star Wars: Rise of the Resistance
Haunted Mansion,Haunted Mansion
Big Thunder Mountain Railroad,Big Thunder Mountain Railroad
Star Wars: Galaxy's Edge,Star Wars: Galaxy's Edge
Fantasyland,Fantasyland
PhotoPass,PhotoPass
Rider Switch,Cambio de Acompañante (Rider Switch)
Single Rider Line,Fila para Pasajero Solitario (Single Rider)
World Showcase,World Showcase
Tiana's Bayou Adventure,Tiana's Bayou Adventure
Character Meet and Greet,Encuentro con Personajes
Genie+,Genie+
FastPass,FastPass
Memory Maker,Memory Maker
Smart Band+,Smart Band+
Imagineer,Imagineer
